Bound,Leave North Springs,Arrive Windward P&R,Route
Northbound,5:50 AM,6:29 AM,141
Northbound,5:55 AM,6:28 AM,143
Northbound,6:30 AM,7:10 AM,141
Northbound,6:40 AM,7:21 AM,143
Northbound,6:50 AM,7:24 AM,140
Northbound,7:10 AM,7:59 AM,141
Northbound,7:25 AM,8:06 AM,143
Northbound,7:30 AM,8:04 AM,140
Northbound,7:50 AM,8:30 AM,141
Northbound,8:10 AM,8:44 AM,140
Northbound,8:10 AM,8:51 AM,143
Northbound,8:30 AM,9:19 AM,141
Northbound,8:50 AM,9:24 AM,140
Northbound,8:55 AM,9:36 AM,143
Northbound,9:10 AM,9:56 AM,141
Northbound,9:25 AM,10:01 AM,140
Northbound,9:50 AM,10:39 AM,141
Northbound,10:05 AM,10:41 AM,140
Northbound,10:30 AM,11:16 AM,141
Northbound,10:45 AM,11:21 AM,140
Northbound,11:10 AM,11:59 AM,141
Northbound,11:25 AM,12:01 PM,140
Northbound,11:50 AM,12:36 PM,141
Northbound,12:05 PM,12:41 PM,140
Northbound,12:30 PM,1:19 PM,141
Northbound,12:45 PM,1:21 PM,140
Northbound,1:10 PM,1:56 PM,141
Northbound,1:25 PM,2:01 PM,140
Northbound,1:50 PM,2:39 PM,141
Northbound,2:10 PM,2:46 PM,140
Northbound,2:30 PM,3:16 PM,141
Northbound,2:45 PM,3:22 PM,140
Northbound,3:05 PM,3:58 PM,141
Northbound,3:10 PM,3:30 PM,143
Northbound,3:30 PM,4:07 PM,140
Northbound,3:50 PM,4:34 PM,141
Northbound,3:55 PM,4:15 PM,143
Northbound,4:05 PM,4:42 PM,140
Northbound,4:25 PM,5:18 PM,141
Northbound,4:40 PM,5:00 PM,143
Northbound,4:50 PM,5:27 PM,140
Northbound,5:10 PM,5:54 PM,141
Northbound,5:25 PM,6:02 PM,140
Northbound,5:25 PM,5:50 PM,143
Northbound,5:45 PM,6:38 PM,141
Northbound,6:10 PM,6:47 PM,140
Northbound,6:10 PM,6:37 PM,143
Northbound,6:30 PM,7:14 PM,141
Northbound,6:50 PM,7:27 PM,140
Northbound,6:55 PM,7:22 PM,143
Northbound,7:10 PM,7:55 PM,141
Northbound,7:30 PM,8:00 PM,140
Northbound,7:50 PM,8:27 PM,141
Northbound,8:10 PM,8:40 PM,140
Northbound,8:30 PM,9:15 PM,141
Northbound,8:50 PM,9:20 PM,140
Northbound,9:10 PM,9:47 PM,141
Northbound,9:30 PM,9:58 PM,140
Northbound,9:50 PM,10:30 PM,141
Northbound,10:10 PM,10:38 PM,140
Northbound,10:30 PM,11:04 PM,141
Northbound,10:50 PM,11:18 PM,140
Northbound,11:10 PM,11:50 PM,141